ringName,URL,dob,pob,gender,notes
"[""Clyde Steif""]",/wrestlers/clyde-steif-4918.html,Jun 21st 1927,Unknown,male,Deceased
"[""Clyde Stevens""]",/wrestlers/clyde-stevens-4918.html,Jun 21st 1927,Unknown,male,Deceased
"[""CM Punk""]",/wrestlers/cm-punk-467.html,Oct 25th 1978,"Chicago, Illinois",male,
"[""Coach Buzz Stern""]",/wrestlers/coach-buzz-stern-695.html,May 13th 1964,"Brunswick, Georgia",male,
"[""Coach D""]",/wrestlers/coach-d-12497.html,unknown,,male,
"[""Coach D'Amore""]",/wrestlers/coach-d39amore-895.html,Aug 8th 1974,"Windsor, Ontario",male,
"[""Coach De Luna""]",/wrestlers/coach-de-luna-9547.html,Sep 7th 1976,"Hammond, Indiana",male,
"[""Coach Gemini""]",/wrestlers/coach-gemini-11075.html,unknown,Unknown,male,
"[""Coach Havens""]",/wrestlers/coach-havens-10408.html,unknown,Unknown,male,
"[""Coach Hawkins""]",/wrestlers/coach-hawkins-10408.html,unknown,Unknown,male,
"[""Coach J. C. Hall""]",/wrestlers/coach-j-c-hall-6931.html,unknown,Unknown,male,
"[""Coach Joe""]",/wrestlers/coach-joe-9717.html,unknown,Unknown,male,
"[""Coach Mammone""]",/wrestlers/coach-mammone-14527.html,unknown,,male,
"[""Coach Mikey""]",/wrestlers/coach-mikey-15306.html,unknown,,male,
"[""Cobra""]",/wrestlers/cobra-14861.html,unknown,,male,
"[""Cobra""]",/wrestlers/cobra-635.html,Aug 14th 1962,"New York, New York",male,
"[""Cobra""]",/wrestlers/cobra-7849.html,Feb 6th 1984,Unknown,male,
"[""Cobra Commander""]",/wrestlers/cobra-commander-9676.html,unknown,Unknown,male,
"[""Coco Amarillo""]",/wrestlers/coco-amarillo-6752.html,Dec 6th 1965,"Mexico City, Federal District",male,
"[""Coco Azul""]",/wrestlers/coco-azul-11809.html,unknown,"Unknown, Unknown",male,
"[""Coco Negro""]",/wrestlers/coco-negro-4835.html,Dec 12th 1956,"Unknown, Unknown",male,
"[""Coco Rojo""]",/wrestlers/coco-rojo-6787.html,Dec 17th 1967,"Ciudad y Puerto de Veracruz, Veracruz",male,
"[""Coco Rojo""]",/wrestlers/coco-rojo-6753.html,Mar 6th 1952,"Ciudad Juarez, Chihuahua",male,
"[""Coco Verde""]",/wrestlers/coco-verde-6800.html,unknown,Unknown,male,
"[""Cocoa Samoa""]",/wrestlers/cocoa-samoa-6987.html,Mar 9th 1945,"Pago Pago, Tutuila Island",male,Deceased
"[""Coconut Jones""]",/wrestlers/coconut-jones-12176.html,unknown,"New York, New York",male,
"[""Cody""]",/wrestlers/cody-2805.html,Jun 29th 1985,"Marietta, Georgia",male,
"[""Cody""]",/wrestlers/cody-8074.html,unknown,Unknown,male,
"[""Cody 45""]",/wrestlers/cody-45-5538.html,unknown,"Mississauga, Ontario",male,
"[""Cody Carnage""]",/wrestlers/cody-carnage-7807.html,unknown,"Hagerstown, Indiana",male,
"[""Cody Castle""]",/wrestlers/cody-castle-9327.html,unknown,Unknown,male,
"[""Cody Crow""]",/wrestlers/cody-crow-7738.html,unknown,Unknown,male,
"[""Cody Deaner""]",/wrestlers/cody-deaner-3457.html,May 15th 1981,"Unknown, Ontario",male,
"[""Cody Devine""]",/wrestlers/cody-devine-14522.html,unknown,,male,
"[""Cody Dickson""]",/wrestlers/cody-dickson-13834.html,unknown,,male,
"[""Cody Gunn""]",/wrestlers/cody-gunn-2205.html,unknown,Unknown,male,
"[""Cody Hall""]",/wrestlers/cody-hall-10996.html,May 31st 1991,"Unknown, Florida",male,
"[""Cody Hawk""]",/wrestlers/cody-hawk-1822.html,Nov 4th 1973,"Springboro, Ohio",male,
"[""Cody Jones""]",/wrestlers/cody-jones-11385.html,unknown,"Amarillo, Texas",male,
"[""Cody Lane""]",/wrestlers/cody-lane-13363.html,unknown,,male,
"[""Cody Lee""]",/wrestlers/cody-lee-15098.html,unknown,,male,
"[""Cody Matthews""]",/wrestlers/cody-matthews-8797.html,unknown,Unknown,male,
"[""Cody Michaels""]",/wrestlers/cody-michaels-1725.html,unknown,Unknown,male,
"[""Cody Morton""]",/wrestlers/cody-morton-10835.html,unknown,Unknown,male,
"[""Cody O'Neill""]",/wrestlers/cody-o39neill-6344.html,Dec 6th 1979,"Burnsville, Minnesota",male,
"[""Cody R.""]",/wrestlers/cody-r-2805.html,Jun 29th 1985,"Marietta, Georgia",male,
"[""Cody Rhodes""]",/wrestlers/cody-rhodes-2805.html,Jun 29th 1985,"Marietta, Georgia",male,
"[""Cody Runnels""]",/wrestlers/cody-runnels-2805.html,Jun 29th 1985,"Marietta, Georgia",male,
"[""Cody Steele""]",/wrestlers/cody-steele-3457.html,May 15th 1981,"Unknown, Ontario",male,
"[""Cody Vance""]",/wrestlers/cody-vance-14291.html,unknown,,male,
"[""Cody Vincent""]",/wrestlers/cody-vincent-14291.html,unknown,,male,
"[""Cody Wade""]",/wrestlers/cody-wade-3192.html,unknown,Unknown,male,
"[""Cohash McQuade""]",/wrestlers/cohash-mcquade-6153.html,unknown,"Blackpool, England",male,
"[""Cohito""]",/wrestlers/cohito-8510.html,unknown,Unknown,male,
"[""Col. Boomer Payne""]",/wrestlers/col-boomer-payne-2149.html,unknown,"Unknown, Pennsylvania",male,
"[""Col. Corruption""]",/wrestlers/col-corruption-4428.html,unknown,"Milwaukee, Wisconsin",male,
"[""Col. Payne""]",/wrestlers/col-payne-2149.html,unknown,"Unknown, Pennsylvania",male,
"[""Col. Sanders""]",/wrestlers/col-sanders-450.html,Jul 27th 1980,"Cleveland, Ohio",male,
"[""Colby Corino""]",/wrestlers/colby-corino-11066.html,Aug 28th 1996,"Philadelphia, Pennsylvania",male,
"[""Colby Covington""]",/wrestlers/colby-covington-14013.html,unknown,,male,
"[""Colby Godwin""]",/wrestlers/colby-godwin-6609.html,May 3rd 1985,"Unknown, Alabama",male,
"[""Colby Redd""]",/wrestlers/colby-redd-13512.html,unknown,,male,
"[""Cold Blood""]",/wrestlers/cold-blood-10404.html,unknown,Unknown,male,
"[""Cole Andrews""]",/wrestlers/cole-andrews-9703.html,unknown,Unknown,male,
"[""Cole Calloway""]",/wrestlers/cole-calloway-6568.html,unknown,"Unknown, Unknown",male,
"[""Cole Dawson""]",/wrestlers/cole-dawson-10840.html,unknown,Unknown,male,
